country,source,data.economy.population_below_poverty_line.value,data.people.languages.date,data.people.languages.language,data.people.languages.note,data.people.languages.note_1,data.people.languages.note_2,data.people.languages.note_3,data.people.languages.overseas_departments,data.people.literacy.total_population.value,data.people.population.total
Namibia,https://web.archive.org/web/20170729071512/https://www.cia.gov/library/publications/the-world-factbook/geos/wa.html,28.7,2011,"[{""name"":""Oshivambo languages"",""percent"":48.9},{""name"":""Nama/Damara"",""percent"":11.3},{""name"":""Afrikaans"",""percent"":10.4,""breakdown"":[{""name"":""common language of most of the population and about of the white population"",""percent"":60}]},{""name"":""Otjiherero languages"",""percent"":8.6},{""name"":""Kavango languages"",""percent"":8.5},{""name"":""Caprivi languages"",""percent"":4.8},{""name"":""English"",""percent"":3.4,""note"":""official""},{""name"":""other African languages"",""percent"":2.3},{""name"":""other"",""percent"":1.7}]","Namibia has 13 recognized national languages, including 10 indigenous African languages and 3 Indo-European languages",,,,,81.9,2436469
Nauru,https://web.archive.org/web/20170729071544/https://www.cia.gov/library/publications/the-world-factbook/geos/nr.html,,2011,"[{""name"":""Nauruan"",""percent"":93,""note"":""official, a distinct Pacific Island language""},{""name"":""English"",""percent"":2,""note"":""widely understood, spoken, and used for most government and commercial purposes""},{""name"":""other"",""percent"":5,""breakdown"":[{""name"":""includes I-Kiribati and Chinese"",""percent"":2}]}]","percentages represent main language spoken at home; Nauruan is spoken by 95% of the population, English by 66%, and other languages by 12%",,,,,,9591
Navassa Island,https://web.archive.org/web/20170704130004/https://www.cia.gov/library/publications/the-world-factbook/geos/bq.html,,,,,,,,,,
Nepal,https://web.archive.org/web/20170729071732/https://www.cia.gov/library/publications/the-world-factbook/geos/np.html,25.2,2011,"[{""name"":""Nepali"",""percent"":44.6,""note"":""official""},{""name"":""Maithali"",""percent"":11.7},{""name"":""Bhojpuri"",""percent"":6},{""name"":""Tharu"",""percent"":5.8},{""name"":""Tamang"",""percent"":5.1},{""name"":""Newar"",""percent"":3.2},{""name"":""Magar"",""percent"":3},{""name"":""Bajjika"",""percent"":3},{""name"":""Urdu"",""percent"":2.6},{""name"":""Avadhi"",""percent"":1.9},{""name"":""Limbu"",""percent"":1.3},{""name"":""Gurung"",""percent"":1.2},{""name"":""other"",""percent"":10.4},{""name"":""unspecified"",""percent"":0.2}]",123 languages reported as mother tongue in 2011 national census; many in government and business also speak English,,,,,63.9,29033914
Netherlands,https://web.archive.org/web/20170729071647/https://www.cia.gov/library/publications/the-world-factbook/geos/nl.html,8.8,,"[{""name"":""Dutch"",""note"":""official""}]","Frisian is an official language in Fryslan province; Frisian, Low Saxon, Limburgish, Romani, and Yiddish have protected status under the European Charter for Regional or Minority Languages; Dutch is the official language of the three special municipalities of the Caribbean Netherlands, while English is a recognized regional language on Sint Eustatius and Saba and Papiamento is a recognized regional language on Bonaire",,,,,,17016967
New Caledonia,https://web.archive.org/web/20170714233405/https://www.cia.gov/library/publications/the-world-factbook/geos/nc.html,17,,"[{""name"":""French"",""note"":""official""},{""name"":""Melanesian-Polynesian dialects"",""percent"":33}]",,,,,,96.9,275355
New Zealand,https://web.archive.org/web/20170729071545/https://www.cia.gov/library/publications/the-world-factbook/geos/nz.html,,2013,"[{""name"":""English"",""percent"":89.8,""note"":""de facto official""},{""name"":""Maori"",""percent"":3.5,""note"":""de jure official""},{""name"":""Samoan"",""percent"":2},{""name"":""Hindi"",""percent"":1.6},{""name"":""French"",""percent"":1.2},{""name"":""Northern Chinese"",""percent"":1.2},{""name"":""Yue"",""percent"":1},{""name"":""other or not stated"",""percent"":20.5},{""name"":""New Zealand Sign Language"",""note"":""de jure official""}]",shares sum to 120.8% due to multiple responses on census,,,,,,4474549
Nicaragua,https://web.archive.org/web/20170729071803/https://www.cia.gov/library/publications/the-world-factbook/geos/nu.html,29.6,2005,"[{""name"":""Spanish"",""percent"":95.3,""note"":""official""},{""name"":""Miskito"",""percent"":2.2},{""name"":""Mestizo of the Caribbean coast"",""percent"":2},{""name"":""other"",""percent"":0.5}]",English and indigenous languages found on the Caribbean coast,,,,,82.8,5966798
Niger,https://web.archive.org/web/20170729071513/https://www.cia.gov/library/publications/the-world-factbook/geos/ng.html,45.4,,"[{""name"":""French"",""note"":""official""},{""name"":""Hausa""},{""name"":""Djerma""}]",,,,,,19.1,18638600
Nigeria,https://web.archive.org/web/20170729071514/https://www.cia.gov/library/publications/the-world-factbook/geos/ni.html,70,,"[{""name"":""English"",""note"":""official""},{""name"":""Hausa""},{""name"":""Yoruba""},{""name"":""Igbo"",""note"":""Ibo""},{""name"":""Fulani""},{""name"":""over additional indigenous languages"",""percent"":500}]",,,,,,59.6,186053386
Niue,https://web.archive.org/web/20170714235350/https://www.cia.gov/library/publications/the-world-factbook/geos/ne.html,,2011,"[{""name"":""Niuean"",""percent"":46,""note"":""official; a Polynesian language closely related to Tongan and Samoan""},{""name"":""Niuean and English"",""percent"":32},{""name"":""English"",""percent"":11,""note"":""official""},{""name"":""Niuean and others"",""percent"":5},{""name"":""other"",""percent"":6}]",,,,,,,1190
Norfolk Island,https://web.archive.org/web/20170716040652/https://www.cia.gov/library/publications/the-world-factbook/geos/nf.html,,2011,"[{""name"":""English"",""percent"":67.6,""note"":""official""},{""name"":""other"",""percent"":32.4,""breakdown"":[{""name"":""includes Norfolk known as Norfuk or Norf'k-which is a mixture of 18th century English and ancient Tahitian"",""percent"":0}]}]",,,,,,,2210
Northern Mariana Islands,https://web.archive.org/web/20170715233849/https://www.cia.gov/library/publications/the-world-factbook/geos/cq.html,,2010,"[{""name"":""Philippine languages"",""percent"":32.8},{""name"":""Chamorro"",""percent"":24.1,""note"":""official""},{""name"":""English"",""percent"":17,""note"":""official""},{""name"":""other Pacific island languages"",""percent"":10.1},{""name"":""Chinese"",""percent"":6.8},{""name"":""other Asian languages"",""percent"":7.3},{""name"":""other"",""percent"":1.9}]",,,,,,,53467
Norway,https://web.archive.org/web/20170729071649/https://www.cia.gov/library/publications/the-world-factbook/geos/no.html,,,"[{""name"":""Bokmal Norwegian"",""note"":""official""},{""name"":""Nynorsk Norwegian"",""note"":""official""},{""name"":""small Sami- and Finnish-speaking minorities""}]",Sami is an official language in nine municipalities,,,,,,5265158
Oman,https://web.archive.org/web/20170729071716/https://www.cia.gov/library/publications/the-world-factbook/geos/mu.html,,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""English""},{""name"":""Baluchi""},{""name"":""Urdu""},{""name"":""Indian dialects""}]",,,,,,91.1,3355262
Pacific Ocean,https://web.archive.org/web/20170711233932/https://www.cia.gov/library/publications/the-world-factbook/geos/zn.html,,,,,,,,,,
Pakistan,https://web.archive.org/web/20170729071733/https://www.cia.gov/library/publications/the-world-factbook/geos/pk.html,29.5,,"[{""name"":""Punjabi"",""percent"":48},{""name"":""Sindhi"",""percent"":12},{""name"":""Saraiki"",""percent"":10,""note"":""a Punjabi variant""},{""name"":""Pashto"",""percent"":8,""note"":""alternate name, Pashtu""},{""name"":""Urdu"",""percent"":8,""note"":""official""},{""name"":""Balochi"",""percent"":3},{""name"":""Hindko"",""percent"":2},{""name"":""Brahui"",""percent"":1},{""name"":""English"",""note"":""official; lingua franca of Pakistani elite and most government ministries""},{""name"":""Burushaski""},{""name"":""and other"",""percent"":8}]",,,,,,57.9,201995540
Palau,https://web.archive.org/web/20170729071546/https://www.cia.gov/library/publications/the-world-factbook/geos/ps.html,,2015,"[{""name"":""Palauan"",""percent"":65.2,""note"":""official on most islands""},{""name"":""other Micronesian"",""percent"":1.9},{""name"":""English"",""percent"":19.1,""note"":""official""},{""name"":""Filipino"",""percent"":9.9},{""name"":""Chinese"",""percent"":1.2},{""name"":""other"",""percent"":2.8}]",Sonsoralese is official in Sonsoral; Tobian is official in Tobi; Angaur and Japanese are official in Angaur,,,,,99.5,21347
Panama,https://web.archive.org/web/20170729071804/https://www.cia.gov/library/publications/the-world-factbook/geos/pm.html,23,,"[{""name"":""Spanish"",""note"":""official""},{""name"":""indigenous languages , Buglere, Kuna, Embera, Wounaan, Naso , and Bri Bri"",""note"":""including Ngabere (or Guaymi; or Teribe; ""},{""name"":""Panamanian English Creole"",""note"":""similar to Jamaican English Creole; a mixture of English and Spanish with elements of Ngabere; also known as Guari Guari and Colon Creole""},{""name"":""English""},{""name"":""Chinese"",""note"":""Yue and Hakka""},{""name"":""Arabic""},{""name"":""French Creole""},{""name"":""other"",""note"":""Yiddish, Hebrew, Korean, Japanese""}]",many Panamanians are bilingual,,,,,95,3705246
Papua New Guinea,https://web.archive.org/web/20170729071547/https://www.cia.gov/library/publications/the-world-factbook/geos/pp.html,37,,"[{""name"":""Tok Pisin"",""note"":""official""},{""name"":""English"",""note"":""official""},{""name"":""Hiri Motu"",""note"":""official""},{""name"":""some indigenous languages spoken ; many languages have fewer than"",""percent"":1,""breakdown"":[{""name"":""about of the world's total"",""percent"":12}]},{""name"":""speakers"",""percent"":0}]","Tok Pisin, a creole language, is widely used and understood; English is spoken by 1%-2%; Hiri Motu is spoken by less than 2%",,,,,64.2,6791317
Paracel Islands,https://web.archive.org/web/20170709122603/https://www.cia.gov/library/publications/the-world-factbook/geos/pf.html,,,,,,,,,,
Paraguay,https://web.archive.org/web/20170729071805/https://www.cia.gov/library/publications/the-world-factbook/geos/pa.html,22.2,,"[{""name"":""Spanish"",""note"":""official""},{""name"":""Guarani"",""note"":""official""}]",,,,,,93.9,6862812
Peru,https://web.archive.org/web/20170729071806/https://www.cia.gov/library/publications/the-world-factbook/geos/pe.html,22.7,2007,"[{""name"":""Spanish"",""percent"":84.1,""note"":""official""},{""name"":""Quechua"",""percent"":13,""note"":""official""},{""name"":""Aymara"",""percent"":1.7,""note"":""official""},{""name"":""Ashaninka"",""percent"":0.3},{""name"":""other native languages"",""percent"":0.7,""note"":""includes a large number of minor Amazonian languages""},{""name"":""other"",""percent"":0.2,""note"":""includes foreign languages and sign language""}]",,,,,,94.5,30741062
Philippines,https://web.archive.org/web/20170729071549/https://www.cia.gov/library/publications/the-world-factbook/geos/rp.html,21.6,,"[{""name"":""Filipino  and English ; eight major dialects - Tagalog"",""note"":""official; based on Tagalog; official""},{""name"":""Cebuano""},{""name"":""Ilocano""},{""name"":""Hiligaynon or Ilonggo""},{""name"":""Bicol""},{""name"":""Waray""},{""name"":""Pampango""},{""name"":""and Pangasinan""}]",,,,,,96.3,102624209
Pitcairn Islands,https://web.archive.org/web/20170716002552/https://www.cia.gov/library/publications/the-world-factbook/geos/pc.html,,,"[{""name"":""English"",""note"":""official""},{""name"":""Pitkern"",""note"":""mixture of an 18th century English dialect and a Tahitian dialect""}]",,,,,,,54
Poland,https://web.archive.org/web/20170729071650/https://www.cia.gov/library/publications/the-world-factbook/geos/pl.html,17.6,2011,"[{""name"":""Polish"",""percent"":98.2,""note"":""official""},{""name"":""Silesian"",""percent"":1.4},{""name"":""other"",""percent"":1.1},{""name"":""unspecified"",""percent"":1.3}]","data represents the language spoken at home; shares sum to more than 100% because some respondents gave more than one answer on the census; Poland ratified the European Charter for Regional or Minority Languages in 2009 recognizing Kashub as a regional language, Czech, Hebrew, Yiddish, Belarusian, Lithuanian, German, Armenian, Russian, Slovak, and Ukrainian as national minority languages, and Karaim, Lemko, Romani (Polska Roma and Bergitka Roma), and Tatar as ethnic minority languages",,,,,99.8,38523261
Portugal,https://web.archive.org/web/20170729071651/https://www.cia.gov/library/publications/the-world-factbook/geos/po.html,19,,"[{""name"":""Portuguese"",""note"":""official""},{""name"":""Mirandese"",""note"":""official, but locally used""}]",,,,,,95.7,10833816
Puerto Rico,https://web.archive.org/web/20170716003647/https://www.cia.gov/library/publications/the-world-factbook/geos/rq.html,,,"[{""name"":""Spanish""},{""name"":""English""}]",,,,,,93.3,3578056
Qatar,https://web.archive.org/web/20170729071718/https://www.cia.gov/library/publications/the-world-factbook/geos/qa.html,,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""English commonly used as a second language""}]",,,,,,97.3,2258283
Romania,https://web.archive.org/web/20170729071652/https://www.cia.gov/library/publications/the-world-factbook/geos/ro.html,22.4,2011,"[{""name"":""Romanian"",""percent"":85.4,""note"":""official""},{""name"":""Hungarian"",""percent"":6.3},{""name"":""Romani"",""percent"":1.2},{""name"":""other"",""percent"":1},{""name"":""unspecified"",""percent"":6.1}]",,,,,,98.8,21599736
Russia,https://web.archive.org/web/20170729071653/https://www.cia.gov/library/publications/the-world-factbook/geos/rs.html,13.3,2010,"[{""name"":""Russian"",""percent"":85.7,""note"":""official""},{""name"":""Tatar"",""percent"":3.2},{""name"":""Chechen"",""percent"":1},{""name"":""other"",""percent"":10.1}]",data represent native language spoken,,,,,99.7,142355415
Rwanda,https://web.archive.org/web/20170729071515/https://www.cia.gov/library/publications/the-world-factbook/geos/rw.html,39.1,2002,"[{""name"":""Kinyarwanda only"",""percent"":93.2,""note"":""official, universal Bantu vernacular""},{""name"":""Kinyarwanda and other language"",""percent"":6.2,""note"":""s""},{""name"":""French  and other language"",""percent"":0.1,""note"":""official; s""},{""name"":""English  and other language"",""percent"":0.1,""note"":""official; s""},{""name"":""Swahili"",""percent"":0.02,""note"":""or Kiswahili, used in commercial centers""},{""name"":""other"",""percent"":0.03},{""name"":""unspecified"",""percent"":0.3}]",,,,,,70.5,12988423
Saint Barthelemy,https://web.archive.org/web/20170729061237/https://www.cia.gov/library/publications/the-world-factbook/geos/tb.html,,,"[{""name"":""French"",""note"":""primary""},{""name"":""English""}]",,,,,,,7209
"Saint Helena, Ascension, And Tristan Da Cunha",https://web.archive.org/web/20170715020818/https://www.cia.gov/library/publications/the-world-factbook/geos/sh.html,,,"[{""name"":""English""}]",,,,,,,7795
Saint Kitts And Nevis,https://web.archive.org/web/20170729071807/https://www.cia.gov/library/publications/the-world-factbook/geos/sc.html,,,"[{""name"":""English"",""note"":""official""}]",,,,,,,52329
Saint Lucia,https://web.archive.org/web/20170729071808/https://www.cia.gov/library/publications/the-world-factbook/geos/st.html,,,"[{""name"":""English"",""note"":""official""},{""name"":""French patois""}]",,,,,,,164464
Saint Martin,https://web.archive.org/web/20170716041331/https://www.cia.gov/library/publications/the-world-factbook/geos/rn.html,,,"[{""name"":""French"",""note"":""official""},{""name"":""English""},{""name"":""Dutch""},{""name"":""French Patois""},{""name"":""Spanish""},{""name"":""Papiamento"",""note"":""dialect of Netherlands Antilles""}]",,,,,,,31949
Saint Pierre And Miquelon,https://web.archive.org/web/20170731071051/https://www.cia.gov/library/publications/the-world-factbook/geos/sb.html,,,"[{""name"":""French"",""note"":""official""}]",,,,,,,5595
Saint Vincent And The Grenadines,https://web.archive.org/web/20170729071809/https://www.cia.gov/library/publications/the-world-factbook/geos/vc.html,,,"[{""name"":""English""},{""name"":""French patois""}]",,,,,,,102350
Samoa,https://web.archive.org/web/20170729071551/https://www.cia.gov/library/publications/the-world-factbook/geos/ws.html,,,"[{""name"":""Samoan"",""note"":""Polynesian; official""},{""name"":""English""}]",,,,,,99,198926
San Marino,https://web.archive.org/web/20170729071653/https://www.cia.gov/library/publications/the-world-factbook/geos/sm.html,,,"[{""name"":""Italian""}]",,,,,,,33285
Sao Tome And Principe,https://web.archive.org/web/20170729071516/https://www.cia.gov/library/publications/the-world-factbook/geos/tp.html,66.2,2012,"[{""name"":""Portuguese"",""percent"":98.4,""note"":""official""},{""name"":""Forro"",""percent"":36.2},{""name"":""Cabo Verdian"",""percent"":8.5},{""name"":""French"",""percent"":6.8},{""name"":""Angolar"",""percent"":6.6},{""name"":""English"",""percent"":4.9},{""name"":""Lunguie"",""percent"":1},{""name"":""other"",""percent"":2.4,""note"":""including sign language""}]",shares sum to more than 100% because some respondents gave more than one answer on the census,,,,,74.9,197541
Saudi Arabia,https://web.archive.org/web/20170729071720/https://www.cia.gov/library/publications/the-world-factbook/geos/sa.html,,,"[{""name"":""Arabic"",""note"":""official""}]",,,,,,94.7,28160273
Senegal,https://web.archive.org/web/20170729071517/https://www.cia.gov/library/publications/the-world-factbook/geos/sg.html,46.7,,"[{""name"":""French"",""note"":""official""},{""name"":""Wolof""},{""name"":""Pular""},{""name"":""Jola""},{""name"":""Mandinka""},{""name"":""Serer""},{""name"":""Soninke""}]",,,,,,57.7,14320055
Serbia,https://web.archive.org/web/20170729071654/https://www.cia.gov/library/publications/the-world-factbook/geos/ri.html,8.9,2011,"[{""name"":""Serbian"",""percent"":88.1,""note"":""official""},{""name"":""Hungarian"",""percent"":3.4},{""name"":""Bosnian"",""percent"":1.9},{""name"":""Romani"",""percent"":1.4},{""name"":""other"",""percent"":3.4},{""name"":""undeclared or unknown"",""percent"":1.8}]","Serbian, Hungarian, Slovak, Romanian, Croatian, and Ruthenian (Rusyn) are official in the Autonomous Province of Vojvodina",,,,,98.1,7143921
Seychelles,https://web.archive.org/web/20170729071519/https://www.cia.gov/library/publications/the-world-factbook/geos/se.html,39.3,2010,"[{""name"":""Seychellois Creole"",""percent"":89.1,""note"":""official""},{""name"":""English"",""percent"":5.1,""note"":""official""},{""name"":""French"",""percent"":0.7,""note"":""official""},{""name"":""other"",""percent"":3.8},{""name"":""unspecified"",""percent"":1.4}]",,,,,,91.8,93186
Sierra Leone,https://web.archive.org/web/20170729071520/https://www.cia.gov/library/publications/the-world-factbook/geos/sl.html,70.2,,"[{""name"":""English"",""note"":""official, regular use limited to literate minority""},{""name"":""Mende"",""note"":""principal vernacular in the south""},{""name"":""Temne"",""note"":""principal vernacular in the north""},{""name"":""Krio"",""breakdown"":[{""name"":""English-based Creole""},{""name"":""spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area""},{""name"":""a lingua franca and a first language for of the population but understood by"",""percent"":95}]}]",,,,,,48.1,6018888
Singapore,https://web.archive.org/web/20170729071552/https://www.cia.gov/library/publications/the-world-factbook/geos/sn.html,,2010,"[{""name"":""Mandarin"",""percent"":36.3,""note"":""official""},{""name"":""English"",""percent"":29.8,""note"":""official""},{""name"":""Malay"",""percent"":11.9,""note"":""official""},{""name"":""Hokkien"",""percent"":8.1},{""name"":""Cantonese"",""percent"":4.1},{""name"":""Tamil"",""percent"":3.2,""note"":""official""},{""name"":""Teochew"",""percent"":3.2},{""name"":""other Indian languages"",""percent"":1.2},{""name"":""other Chinese dialects"",""percent"":1.1},{""name"":""other"",""percent"":1.1}]",,,,,,96.8,5781728
Sint Maarten,https://web.archive.org/web/20170715080644/https://www.cia.gov/library/publications/the-world-factbook/geos/sk.html,,,"[{""name"":""English"",""percent"":67.5,""note"":""official""},{""name"":""Spanish"",""percent"":12.9},{""name"":""Creole"",""percent"":8.2},{""name"":""Dutch"",""percent"":4.2,""note"":""official""},{""name"":""Papiamento"",""percent"":2.2,""note"":""a Spanish-Portuguese-Dutch-English dialect""},{""name"":""French"",""percent"":1.5},{""name"":""other"",""percent"":3.5,""note"":""2001 census""}]",,,,,,,41486
Slovakia,https://web.archive.org/web/20170729071655/https://www.cia.gov/library/publications/the-world-factbook/geos/lo.html,12.3,2011,"[{""name"":""Slovak"",""percent"":78.6,""note"":""official""},{""name"":""Hungarian"",""percent"":9.4},{""name"":""Roma"",""percent"":2.3},{""name"":""Ruthenian"",""percent"":1},{""name"":""other or unspecified"",""percent"":8.8}]",,,,,,,5445802
Slovenia,https://web.archive.org/web/20170729071656/https://www.cia.gov/library/publications/the-world-factbook/geos/si.html,14.3,,"[{""name"":""Slovenian"",""percent"":91.1,""note"":""official""},{""name"":""Serbo-Croatian"",""percent"":4.5},{""name"":""other or unspecified"",""percent"":4.4},{""name"":""Italian"",""note"":""official, only in municipalities where Italian national communities reside""},{""name"":""Hungarian"",""note"":""official, only in municipalities where Hungarian national communities reside; 2002 census""}]",,,,,,99.7,1978029
Solomon Islands,https://web.archive.org/web/20170729071600/https://www.cia.gov/library/publications/the-world-factbook/geos/bp.html,,,"[{""name"":""Melanesian pidgin"",""note"":""in much of the country is lingua franca""},{""name"":""English"",""breakdown"":[{""name"":""official but spoken by only of the population"",""percent"":1}]},{""name"":""indigenous languages"",""percent"":120}]",,,,,,84.1,635027
Somalia,https://web.archive.org/web/20170729071521/https://www.cia.gov/library/publications/the-world-factbook/geos/so.html,,,"[{""name"":""Somali"",""note"":""official, according to the 2012 Transitional Federal Charter""},{""name"":""Arabic"",""note"":""official, according to the 2012 Transitional Federal Charter""},{""name"":""Italian""},{""name"":""English""}]",,,,,,,10817354
South Africa,https://web.archive.org/web/20170729071522/https://www.cia.gov/library/publications/the-world-factbook/geos/sf.html,16.6,2011,"[{""name"":""IsiZulu"",""percent"":22.7,""note"":""official""},{""name"":""IsiXhosa"",""percent"":16,""note"":""official""},{""name"":""Afrikaans"",""percent"":13.5,""note"":""official""},{""name"":""English"",""percent"":9.6,""note"":""official""},{""name"":""Sepedi"",""percent"":9.1,""note"":""official""},{""name"":""Setswana"",""percent"":8,""note"":""official""},{""name"":""Sesotho"",""percent"":7.6,""note"":""official""},{""name"":""Xitsonga"",""percent"":4.5,""note"":""official""},{""name"":""siSwati"",""percent"":2.5,""note"":""official""},{""name"":""Tshivenda"",""percent"":2.4,""note"":""official""},{""name"":""isiNdebele"",""percent"":2.1,""note"":""official""},{""name"":""sign language"",""percent"":0.5},{""name"":""other"",""percent"":1.6}]",,,,,,94.3,54300704
Southern Ocean,https://web.archive.org/web/20170711234008/https://www.cia.gov/library/publications/the-world-factbook/geos/oo.html,,,,,,,,,,
South Georgia And South Sandwich Islands,https://web.archive.org/web/20170704150954/https://www.cia.gov/library/publications/the-world-factbook/geos/sx.html,,,,,,,,,,
South Sudan,https://web.archive.org/web/20170729071523/https://www.cia.gov/library/publications/the-world-factbook/geos/od.html,50.6,,"[{""name"":""English"",""note"":""official""},{""name"":""Arabic"",""note"":""includes Juba and Sudanese variants""},{""name"":""regional languages include Dinka""},{""name"":""Nuer""},{""name"":""Bari""},{""name"":""Zande""},{""name"":""Shilluk""}]",,,,,,27,12530717
Spain,https://web.archive.org/web/20170729071658/https://www.cia.gov/library/publications/the-world-factbook/geos/sp.html,21.1,,"[{""name"":""Castilian Spanish"",""percent"":74,""note"":""official nationwide""},{""name"":""Catalan"",""percent"":17,""note"":""official in Catalonia, the Balearic Islands, and the Valencian Community (where it is known as Valencian; ""},{""name"":""Galician"",""percent"":7,""note"":""official in Galicia""},{""name"":""Basque"",""percent"":2,""note"":""official in the Basque Country and in the Basque-speaking area of Navarre""},{""name"":""Aranese  along with Catalan; speakers"",""percent"":5000,""note"":""official in the northwest corner of Catalonia (Vall d'Aran; ""}]","Aragonese, Aranese Asturian, Basque, Calo, Catalan, Galician, and Valencian are recognized as regional languages under the European Charter for Regional or Minority Languages",,,,,98.1,48563476
Spratly Islands,https://web.archive.org/web/20170721131625/https://www.cia.gov/library/publications/the-world-factbook/geos/pg.html,,,,,,,,,,
Sri Lanka,https://web.archive.org/web/20170729071734/https://www.cia.gov/library/publications/the-world-factbook/geos/ce.html,6.7,,"[{""name"":""Sinhala"",""percent"":74,""note"":""official and national language""},{""name"":""Tamil"",""percent"":18,""note"":""official and national language""},{""name"":""other"",""percent"":8}]","English, spoken competently by about 10% of the population, is commonly used in government and is referred to as the link language in the constitution",,,,,92.6,22235000
Sudan,https://web.archive.org/web/20170729071524/https://www.cia.gov/library/publications/the-world-factbook/geos/su.html,46.5,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""English"",""note"":""official""},{""name"":""Nubian""},{""name"":""Ta Bedawie""},{""name"":""Fur""}]",,,,,,75.9,36729501
Suriname,https://web.archive.org/web/20170729071810/https://www.cia.gov/library/publications/the-world-factbook/geos/ns.html,70,,"[{""name"":""Dutch"",""note"":""official""},{""name"":""English"",""note"":""widely spoken""},{""name"":""Sranang Tongo"",""note"":""Surinamese, sometimes called Taki-Taki, is the native language of Creoles and much of the younger population and is lingua franca among others""},{""name"":""Caribbean Hindustani"",""note"":""a dialect of Hindi""},{""name"":""Javanese""}]",,,,,,95.6,585824
Svalbard,https://web.archive.org/web/20170716013506/https://www.cia.gov/library/publications/the-world-factbook/geos/sv.html,,,"[{""name"":""Norwegian""},{""name"":""Russian""}]",,,,,,,2667
Swaziland,https://web.archive.org/web/20170729071525/https://www.cia.gov/library/publications/the-world-factbook/geos/wz.html,63,,"[{""name"":""English"",""note"":""official, used for government business""},{""name"":""siSwati"",""note"":""official""}]",,,,,,87.5,1451428
Sweden,https://web.archive.org/web/20170729071659/https://www.cia.gov/library/publications/the-world-factbook/geos/sw.html,15,,"[{""name"":""Swedish"",""note"":""official""}]","Finnish, Sami, Romani, Yiddish, and Meankieli are official minority languages",,,,,,9880604
Switzerland,https://web.archive.org/web/20170729071700/https://www.cia.gov/library/publications/the-world-factbook/geos/sz.html,6.6,2015,"[{""name"":""German"",""percent"":63,""note"":""or Swiss German; official""},{""name"":""French"",""percent"":22.7,""note"":""official""},{""name"":""Italian"",""percent"":8.1,""note"":""official""},{""name"":""English"",""percent"":4.9},{""name"":""Portuguese"",""percent"":3.7},{""name"":""Albanian"",""percent"":3},{""name"":""Serbo-Croatian"",""percent"":2.4},{""name"":""Spanish"",""percent"":2.2},{""name"":""Romansch"",""percent"":0.5,""note"":""official""},{""name"":""other"",""percent"":7.1}]","German, French, Italian, and Romansch are all national and official languages; totals more than 100% because some respondents indicated more than one main language",,,,,,8179294
Syria,https://web.archive.org/web/20170729071720/https://www.cia.gov/library/publications/the-world-factbook/geos/sy.html,82.5,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""Kurdish""},{""name"":""Armenian""},{""name"":""Aramaic""},{""name"":""Circassian""},{""name"":""French""},{""name"":""English""}]",,,,,,86.4,17185170
Taiwan,https://web.archive.org/web/20170729071601/https://www.cia.gov/library/publications/the-world-factbook/geos/tw.html,1.5,,"[{""name"":""Mandarin Chinese"",""note"":""official""},{""name"":""Taiwanese"",""note"":""Min""},{""name"":""Hakka dialects""}]",,,,,,98.5,23464787
Tajikistan,https://web.archive.org/web/20170729071735/https://www.cia.gov/library/publications/the-world-factbook/geos/ti.html,31.5,,"[{""name"":""Tajik"",""note"":""official""},{""name"":""Russian widely used in government and business""}]","different ethnic groups speak Uzbek, Kyrgyz, and Pashto",,,,,99.8,8330946
Tanzania,https://web.archive.org/web/20170729071526/https://www.cia.gov/library/publications/the-world-factbook/geos/tz.html,22.8,,"[{""name"":""Kiswahili or Swahili"",""note"":""official""},{""name"":""Kiunguja"",""note"":""name for Swahili in Zanzibar""},{""name"":""English"",""note"":""official, primary language of commerce, administration, and higher education""},{""name"":""Arabic"",""note"":""widely spoken in Zanzibar""},{""name"":""many local languages""}]","Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages",,,,,70.6,52482726
Thailand,https://web.archive.org/web/20170729071603/https://www.cia.gov/library/publications/the-world-factbook/geos/th.html,7.2,2010,"[{""name"":""Thai"",""percent"":90.7,""note"":""official""},{""name"":""Burmese"",""percent"":1.3},{""name"":""other"",""percent"":8}]",English is a secondary language of the elite,,,,,96.7,68200824
